月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月
2016年1月,0.11,0.05,0.33,178.35,427.04,0.05,0.0,89.91,361.8,241.0,79.91,477.7,179.72,0.0,337.72,173.0,405.71,748.2,3564.4,422.55,1162.51
2016年2月,,2404.02,90.18,29164.71,16615.1,36502.12,42148.73,72439.94,130324.01,75511.4,171486.0,200451.6,136474.35,132906.0,238012.84,225125.3,274250.0,280567.3,220743.4,268064.9,267936.0
2016年3月,,,1344.2,10906.02,11377.0,5614.0,1995.8,11930.82,17864.6,6111.3,5869.9,9958.2,8823.1,6888.8,14109.5,10455.1,5910.2,12453.1,3972.5,7026.5,22020.6
2016年4月,,,,28555.92,10880.0,16670.0,11214.41,14574.77,10110.19,10801.49,18925.66,13482.2,10229.7,15504.5,23048.6,19578.6,26884.2,33952.0,25201.0,33150.5,47281.9
2016年5月,,,,,33385.0,79101.0,65645.0,63241.9,160234.51,78113.8,151611.41,152489.1,107547.2,64104.4,157165.1,137749.5,163902.21,148341.9,115319.8,166627.7,221170.4
2016年6月,,,,,,67676.14,64785.45,84568.56,122263.88,89499.17,202652.2,200511.04,131386.11,105656.49,205567.28,186909.52,197244.51,165935.02,150340.77,204412.0,243438.71
2016年7月,,,,,,,70340.6,175915.82,236803.8,184723.9,286103.87,304610.89,235197.66,179310.04,417328.6,376621.22,487579.24,399974.23,376369.94,442692.6,530021.01
2016年8月,,,,,,,,113499.4,267888.0,232069.2,411316.9,669213.13,472791.1,341135.0,675883.7,612833.1,738736.4,693935.9,644713.61,649778.3,900959.3
2016年9月,,,,,,,,,81314.7,158763.3,261053.7,341515.4,193229.5,121917.9,312139.1,350916.6,416660.1,421883.7,344833.0,370969.8,536154.2
2016年10月,,,,,,,,,,114088.5,383295.2,473461.7,252028.9,169752.5,410884.2,378180.0,437503.8,364178.3,319378.9,362751.6,453059.5
2016年11月,,,,,,,,,,,275057.09,683831.57,431375.5,266003.44,543882.3,457038.3,520188.5,483194.82,390154.83,413806.99,472777.32
2016年12月,,,,,,,,,,,,432649.0,571008.0,336725.9,786153.8,699664.2,853130.6,731660.0,626842.1,651541.7,753077.7
2017年1月,,,,,,,,,,,,,212956.0,165453.9,390067.1,303434.2,344416.6,269038.2,242026.9,252675.5,311529.3
2017年2月,,,,,,,,,,,,,,142120.5,703990.44,536768.98,646046.14,553460.47,528890.26,572522.62,754146.22
2017年3月,,,,,,,,,,,,,,,1798272.83,2996025.7,2776650.2,2329596.7,1887311.5,2120636.1,2673531.58
2017年4月,,,,,,,,,,,,,,,,2000766.6,2945548.9,2219685.3,1790921.38,1932313.5,2493497.2
2017年5月,,,,,,,,,,,,,,,,,2815546.34,3431056.86,2720089.73,2719879.52,3110921.0
2017年6月,,,,,,,,,,,,,,,,,,2175633.1,2770205.9,2387942.1,2680126.63
2017年7月,,,,,,,,,,,,,,,,,,,1337064.98,1707234.77,1730095.7
2017年8月,,,,,,,,,,,,,,,,,,,,1717318.5,2291793.9
2017年9月,,,,,,,,,,,,,,,,,,,,,2295976.4
